"","Gilchrist","SE_MI","SE_WI","Sturgeon","WR_MI","WR_WI"
"Ssa85",5.39524283301456,5.70832833414387,4.99938284519414,5.0962311557589,3,3
"Ssa197",4.88475855318314,5.89587755905937,6.95723804115729,3.91074917733886,2.69874371655084,3.98359671848439
"Oneu9",4.69858800256122,4.69815711981229,2.91074917735888,5.38796273980079,3.99256419085064,3.75139664803665
"Ogo2",7.68864037520579,5.91667077102904,6.66526529053498,7.41576900840061,3.9999992129143,4.7248766199986
"Sfo1",9.36290922689735,11.3038273476037,8.6966014517691,11.0884290392219,7.60829984813478,7.53571110790964
"Omy301",7.49212129013779,9.59938092281179,8.6727209493346,5.58350210727069,4.99998928505138,4.99999953858538
"Str15",4.69870176171904,6.69667274131081,5.85667904086779,4.88474783835075,2.99942411605173,3.9835944870117
"Str60",2.99942411605173,2.99256419085064,2.99984428396825,2.97400937582429,2,2
"Str73",2.99999932302657,3.91074917735885,3,2.99999727689342,2.99999999999628,2.99999815681873
"SsoSL417",6.97118888521328,8.39465555726045,7.91053871348316,7.37087965614223,6.70692645433762,5.70982376206971
"SsoSL438",3.99995872665106,5.99884739062459,4.99252291795093,3.99984428396825,4.99984411041988,4.99978088403306
