"","Allele-1","Allele-2","Allele-3","Allele-4","Allele-5","Allele-6","Allele-7","Allele-8","Allele-9","Allele-10","Allele-11","Allele-12","Allele-13","Allele-14","Allele-15"
"Ssa85",0.051,0.433,0.039,0.072,0,0,0.009,0,NA,NA,NA,NA,NA,NA,NA
"Ssa197",0,0.152,0.107,0.05,0.02,0.075,0.003,NA,NA,NA,NA,NA,NA,NA,NA
"Oneu9",0.018,0.005,0.126,0.059,0.027,0.001,0.086,0.002,NA,NA,NA,NA,NA,NA,NA
"Ogo2",0.429,0.415,0.021,0.04,0.222,0.16,0.3,0.071,0.087,0.152,NA,NA,NA,NA,NA
"Sfo1",0,0.4,0.053,0.35,0.082,0.018,0,0.045,0.014,0.253,0.012,0,0.015,0.002,0.001
"Omy301",0.015,0.062,0.094,0.007,0.394,0.071,0.06,0.003,0.015,0.012,0,0,0.004,0.084,0.015
"Str15",0,0.037,0.081,0.002,0.029,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA
"Str60",0.34,0.407,0.017,0.206,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Str73",0.399,0.152,0.579,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SsoSL417",0.004,0,0.019,0.186,0.482,0.017,0,0,0.01,0.05,0.105,NA,NA,NA,NA
"SsoSL438",0.692,0.147,0.013,0.247,0.672,0.162,NA,NA,NA,NA,NA,NA,NA,NA,NA
