sample_type,repunit,collection,indiv,Ssa85,Ssa85.1,Ssa197,Ssa197.1,Oneu9,Oneu9.1,Ogo2,Ogo2.1,Sfo1,Sfo1.1,Omy301,Omy301.1,Str15,Str15.1,Str60,Str60.1,Str73,Str73.1,SsoSL417,SsoSL417.1,SsoSL438,SsoSL438.1
mixture,NA,ALL,14-BNT-F-01,115,117,129,129,202,202,230,234,119,123,82,106,221,225,99,99,144,150,180,180,108,116
mixture,NA,ALL,14-BNT-F-02,113,113,137,137,198,202,234,234,133,135,102,104,223,225,99,103,144,150,178,178,108,114
mixture,NA,ALL,14-BNT-F-03,117,117,133,137,202,202,236,236,135,139,104,106,219,225,99,99,150,150,178,188,108,108
mixture,NA,ALL,14-BNT-F-04,115,117,137,137,198,202,234,236,133,139,100,106,219,219,103,103,148,150,178,184,112,114
mixture,NA,ALL,14-BNT-F-05,113,113,137,137,200,200,248,242,133,139,76,104,219,221,99,99,148,148,178,192,112,112
mixture,NA,ALL,14-BNT-F-06,113,113,133,137,198,200,236,248,119,135,76,106,221,221,99,99,144,148,178,184,108,112
mixture,NA,ALL,14-BNT-F-07,113,115,137,137,200,202,234,234,125,135,106,106,219,225,99,99,150,150,178,184,108,108
mixture,NA,ALL,14-BNT-F-08,113,115,137,137,200,202,234,236,133,135,76,106,219,225,99,99,148,148,182,182,108,112
mixture,NA,ALL,14-BNT-F-10,113,115,129,133,198,200,234,248,133,135,102,104,219,219,103,103,144,150,178,184,108,116
mixture,NA,ALL,14-BNT-F-11,111,111,133,133,202,202,234,234,125,125,80,84,223,225,99,99,150,150,180,180,108,118
mixture,NA,ALL,14-BNT-F-13,113,117,133,137,200,202,236,236,135,139,102,106,219,223,99,99,144,148,188,192,108,110
mixture,NA,ALL,14-BNT-F-14,113,117,137,137,198,202,234,248,119,133,76,104,219,221,99,103,144,150,184,184,108,110
mixture,NA,ALL,14-BNT-F-15,113,115,137,137,198,200,234,234,131,133,106,106,219,225,99,99,144,150,178,192,108,112
mixture,NA,ALL,14-BNT-F-16,113,117,137,137,NA,NA,234,236,119,133,100,106,219,219,99,103,144,148,178,184,112,112
mixture,NA,ALL,14-BNT-F-17,117,117,137,137,198,198,236,248,133,135,102,106,219,219,99,103,144,150,182,190,112,114
mixture,NA,ALL,14-BNT-F-18,115,117,137,137,200,202,234,236,133,135,106,106,219,219,99,99,150,150,178,182,108,114
mixture,NA,ALL,14-BNT-F-19,115,117,129,137,198,198,234,234,135,139,102,104,225,225,99,99,150,150,184,192,112,114
mixture,NA,ALL,14-BNT-F-20,115,117,137,137,198,200,234,248,125,135,76,104,219,219,99,99,144,148,178,188,108,110
mixture,NA,ALL,14-BNT-F-21,113,117,133,133,202,202,234,248,135,135,76,104,225,225,99,103,144,150,184,184,108,110
mixture,NA,ALL,14-BNT-F-22,113,113,137,137,200,202,234,234,119,133,104,106,219,225,99,99,144,148,184,188,112,112
mixture,NA,ALL,14-BNT-F-23,113,115,137,137,200,202,234,236,133,139,76,100,225,225,99,103,150,150,182,190,108,108
mixture,NA,ALL,14-BNT-F-24,113,115,133,137,200,204,234,236,139,139,76,104,219,225,103,103,144,150,184,190,108,108
mixture,NA,ALL,14-BNT-F-25,113,117,133,137,198,200,236,248,119,119,76,104,219,225,99,99,150,150,178,184,108,108
mixture,NA,ALL,14-BNT-F-26,113,117,129,137,198,198,236,246,135,139,76,104,219,225,99,99,148,150,192,192,108,112
mixture,NA,ALL,14-BNT-F-28,115,117,137,137,198,202,234,248,131,139,76,106,219,225,99,99,150,150,184,188,110,114
mixture,NA,ALL,14-BNT-F-29,115,117,133,137,200,202,234,236,135,139,76,104,225,225,99,103,148,150,190,192,108,108
