SID,YEAR,MONTH,DAY,LAKE,STATE_PROV,SITE,ST_SITE,LATITUDE,LONGITUDE,GRID,STAT_DIST,LS_MGMT,SPECIES,STRAIN,NO_STOCKED,YEAR_CLASS,STAGE,AGEMONTH,MARK,MARK_EFF,TAG_NO,TAG_RET,LENGTH,WEIGHT,CONDITION,LOT_CODE,STOCK_METH,AGENCY,VALIDATION,NOTES
20130031,2012,4,9,MI,IN,Port of Indiana,,41.641054,-87.151312,2805,IND,,BNT,PR,71125,2011,sf,4,NC,,,,73,,1,11UIL,t,INDNR,2,Port of Indiana
20130066,2012,10,1,MI,IL,"CHICAGO, BELMONT HARBOR",,,,2603,ILL,,BNT,PR,8207,2012,f,10,NC,,,,148,708,0,,t,ILDNR,9,
20130067,2012,10,1,MI,IL,"CHICAGO, BURNHAM HARBOR",,,,2603,ILL,,BNT,PR,8183,2012,f,10,NC,,,,148,705,0,,t,ILDNR,9,
20130069,2012,10,3,MI,IL,"CHICAGO, CALUMET HARBOR",,,,2703,ILL,,BNT,PR,12510,2012,f,10,NC,,,,148,1000,0,,t,ILDNR,9,
20130070,2012,10,1,MI,IL,"CHICAGO, DIVERSEY HARBOR",,,,2603,ILL,,BNT,PR,8184,2012,f,10,NC,,,,148,706,0,,t,ILDNR,9,
20130075,2012,10,3,MI,IL,"CHICAGO, JACKSON HARBOR",,,,2703,ILL,,BNT,PR,12510,2012,f,10,NC,,,,148,1000,0,,t,ILDNR,9,
20130080,2012,10,1,MI,IL,"CHICAGO, MONTROSE HARBOR",,,,2603,ILL,,BNT,PR,8207,2012,f,10,NC,,,,148,707,0,,t,ILDNR,9,
20130083,2012,10,2,MI,IL,"EVANSTON, DAWES PARK",,,,2503,ILL,,BNT,PR,8254,2012,f,10,NC,,,,148,699,0,,t,ILDNR,9,
20130084,2012,10,2,MI,IL,HIGHLAND PARK,,,,2402,ILL,,BNT,PR,8254,2012,f,10,NC,,,,148,699,0,,t,ILDNR,9,
20130086,2012,10,4,MI,IL,NORTH POINT MARINA,,,,2302,ILL,,BNT,PR,12594,2012,f,10,NC,,,,148,1006,0,,t,ILDNR,9,
20130087,2012,10,4,MI,IL,"WAUKEGAN, SOUTH HARBOR",,,,2302,ILL,,BNT,PR,12593,2012,f,10,NC,,,,148,1006,0,,t,ILDNR,9,
20130159,2012,3,26,MI,MI,"Pentwater River, PENTWATER CHANNEL",,,,1510,MM6,,BNT,WR,11077,2011,y,,NC,,,,163.4,622.4,,P-BNT-WR-D-10-OD-HA,u,MIDNR,,State Plant
20130160,2012,3,26,MI,MI,"White Lake Channel, MONTAGUE",,,,1710,MM7,,BNT,WR,22154,2011,y,,NC,,,,163.4,1244.6,,P-BNT-WR-D-10-OD-HA,u,MIDNR,,State Plant
20130161,2012,3,26,MI,MI,"Muskegon Lake Outlet, MUSKEGON LAKE OUTLET",,,,1810,MM7,,BNT,WR,22154,2011,y,,NC,,,,163.4,1244.6,,P-BNT-WR-D-10-OD-HA,u,MIDNR,,State Plant
20130164,2012,3,27,MI,MI,"Saint Joseph River, PIER 33",,,,2509,MM8,,BNT,GC,22260,2011,y,,NC,,,,116.9,397.4,,P-BNT-GC-D-10-OD-HA,u,MIDNR,,State Plant
20130165,2012,3,27,MI,MI,"Galien River, RED ARROW HWY",,,,2708,MM8,,BNT,GC,22260,2011,y,,NC,,,,116.9,397.4,,P-BNT-GC-D-10-OD-HA,u,MIDNR,,State Plant
20130166,2012,3,27,MI,MI,"Kalamazoo River, SAUGATUCK",,,,2111,MM8,,BNT,GC,26500,2011,y,,NC,,,,116.1,464.1,,P-BNT-GC-D-10-OD-HA,u,MIDNR,,State Plant
20130167,2012,3,27,MI,MI,"Macatawa River, HOLLAND",,,,2111,MM8,,BNT,GC,30740,2011,y,,NC,,,,116.1,538.4,,P-BNT-GC-D-10-OD-HA,u,MIDNR,,State Plant
20130168,2012,3,27,MI,MI,"Grand River, CITY MARINA",,,,1911,MM7,,BNT,GC,17490,2011,y,,NC,,,,116.1,306.3,,P-BNT-GC-D-10-OD-HA,u,MIDNR,,State Plant
20130175,2012,3,28,MI,MI,"Lake Michigan - Ludington Harbor, CAR FERRY",,,,1410,MM6,,BNT,WR,28100,2011,y,,RV,,,,157.2,1419.2,,P-BNT-WR-D-10-OD-HA,u,MIDNR,,State Plant
20130176,2012,3,28,MI,MI,"Lake Michigan - Ludington Harbor, CAR FERRY",,,,1410,MM6,,BNT,SR,28100,2011,y,,LV,,,,112.5,473.9,,P-BNT-SR-D-10-OD-HA,u,MIDNR,,State Plant
20130181,2012,3,29,MI,MI,"Betsie River, COAST GUARD STATION",,,,1011,MM5,,BNT,WR,15550,2011,y,,RV,,,,161.4,849.7,,P-BNT-WR-D-10-OD-HA,u,MIDNR,,State Plant
20130200,2012,4,5,MI,MI,"Manistique River, CITY OF MANISTIQUE PAS",,,,211,MM2,,BNT,GC,12000,2011,y,,NC,,,,129,288.5,,P-BNT-GC-D-10-OD-TH,u,MIDNR,,State Plant
20130211,2012,4,9,MI,MI,"Arcadia Lake, Arcadia Marina",,,,1111,MM6,,BNT,SR,19080,2011,y,,NC,,,,100,223,,P-BNT-SR-W-10-OD,u,MIDNR,,State Plant
20130212,2012,4,9,MI,MI,"Lake Michigan, GREILICKVILLE-BREWERY CREEK",,,,915,MM4,,BNT,SR,21200,2011,y,,NC,,,,100,247.6,,P-BNT-SR-W-10-OD,u,MIDNR,,State Plant
20130213,2012,4,9,MI,MI,"Lake Michigan, GREILICKVILLE-BREWERY CREEK",,,,915,MM4,,BNT,WR,6146,2011,y,,NC,,,,177,457.8,,P-BNT-WR-D-10-OD,u,MIDNR,,State Plant
20130218,2012,4,10,MI,MI,"Lake Michigan, GREILICKVILLE-BREWERY CREEK",,,,915,MM4,,BNT,WR,12292,2011,y,,NC,,,,174,875.6,,P-BNT-WR-D-10-OD,u,MIDNR,,State Plant
